identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/durability,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/location,product/locationType,product/operation,product/productFamily,product/region,product/requestType,product/servicecode,product/servicename,product/sku,product/storageClass,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/volumeType,pricing/RateId,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue
yvuecol2wowc3yhhhm7zprxrrawjj7glfxabkuf43umkhn4glisa,2019-07-15T00:00:00Z/2019-08-01T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,556902367874,Tax,2019-07-15T09:17:18Z,2019-08-01T00:00:00Z,AWSCostExplorer,USE1-APIRequest,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSCostExplorer usage type USE1-APIRequest,VAT,"Amazon Web Services, Inc.",AWS Cost Explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3esjly37z2oz7glheri3w75kl3xsobt2qfltkbnch2usna2zye4q,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,awskms,ap-northeast-1-KMS-Requests,ListAliases,,,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - Monthly Global Free Tier for KMS requests,,"Amazon Web Services, Inc.",AWS Key Management Service,,,,,awskms-APIRequest-All,All AWS KMS API requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,awskms,AWS Key Management Service,ZXP6ZS4WWG9FNXHG,,,,,ap-northeast-1-KMS-Requests,,546243207,0.0000030000,0.0000030000,,,,,,,,,,,2587421736,,,,,,,,
b6k3czvcs6etmvbg3d6yr4sir3uz57batjtdzh2qromgny5ql45q,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,Requests-Tier2,ReadAccountPublicAccessBlock,,,2.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,US East (N. Virginia),AWS Region,,API Request,us-east-1,,AmazonS3,Amazon Simple Storage Service,ZWQ6Q48CRJXX4FXE,,,,,Requests-Tier2,,535686807,0.0000008000,0.0000004000,,,,,,,,,,,2587421699,,,,,,,,
tsoba4tl6xhqthw4cc5nrjhkeha7mhgqxuxxnqgrp3ah2gmlrj7a,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier1,WriteBucketPublicAccessBlock,,zzzdf,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,"$0.00 per request - PUT, COPY, POST, or LIST requests under the monthly global free tier",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,XAKHUSC46NWC9PPM,,,,,APN1-Requests-Tier1,,535686775,0.0000047000,0.0000047000,,,,,,,,,,,2587421699,,,,,,,,
y22u6ap36p3ma6bsfvjblsob5fvm45cd7xtzeqfsosvxdag6wxxq,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadBucketReplication,,zzzdf,4.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,APN1-Requests-Tier2,,535686795,0.0000014800,0.0000003700,,,,,,,,,,,2587421699,,,,,,,,
tcfwjkwgq7dmoxend5z5ou2aic4qqkwyyshdrqhfd2biyzh6ayla,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier2,HeadBucket,,zzzdf,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,APN1-Requests-Tier2,,535686795,0.0000003700,0.0000003700,,,,,,,,,,,2587421699,,,,,,,,
cooczcm4hjllhhoqwmmtn3lzjx6lj4aerkjttgyfead3gmadwoca,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadBucketObjectLockConfig,,zzzdf,4.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,APN1-Requests-Tier2,,535686795,0.0000014800,0.0000003700,,,,,,,,,,,2587421699,,,,,,,,
fw2lhqwtys3p3x5lfxe6ybwizditjulrigjhcuwo6zepujlgbrxa,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadBucketPolicyStatus,,zzzdf,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,APN1-Requests-Tier2,,535686795,0.0000003700,0.0000003700,,,,,,,,,,,2587421699,,,,,,,,
7st4yw6yp5llqb5efswdd2t35ohmhmzqkbmebvrriyy6zvp2rauq,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadAccelerate,,zzzdf,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,APN1-Requests-Tier2,,535686795,0.0000003700,0.0000003700,,,,,,,,,,,2587421699,,,,,,,,
cebrlbmzwrayk4uwkccteoyprgy3tl2arkvbc5i4jmcx54y4qega,2019-07-24T00:00:00Z/2019-07-25T00:00:00Z,,AWS,Anniversary,556902367874,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,195170424831,Usage,2019-07-24T03:00:00Z,2019-07-24T04:00:00Z,AmazonS3,APN1-Requests-Tier2,ReadBucketPolicy,,zzzdf,4.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per request - GET and all other requests under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,S3-API-Tier2,GET and all other requests,Asia Pacific (Tokyo),AWS Region,,API Request,ap-northeast-1,,AmazonS3,Amazon Simple Storage Service,9C7873KU3ZQBD6BJ,,,,,APN1-Requests-Tier2,,535686795,0.0000014800,0.0000003700,,,,,,,,,,,2587421699,,,,,,,,
